bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  int  endOffset  =  indexOfNonDigit(date,  offset  +  1);  [CE]  variable  endOffset  is  already  defined  in  method  parse(String,ParsePosition)  [FE]    JsonSyntaxException  [CONTEXT]    if  (date.length()  >  offset)  {  char  c  =  date.charAt(offset);  if  (c  !=  'Z'  &&  c  !=  '+'  &&  c  !=  '-')  {  seconds  =  parseInt(date,  offset,  offset  +=  2);  if  (seconds  >  59  &&  seconds  <  63)  seconds  =  59;  //  truncate  up  to  3  leap  seconds  if  (checkOffset(date,  offset,  '.'))  {  offset  +=  1;  int  endOffset  =  indexOfNonDigit(date,  offset  +  1);  //  assume  at  least  one  digit  [BUGGY]  int  endOffset  =  indexOfNonDigit(date,  offset  +  1);  [BUGGY]  int  fraction  =  parseInt(date,  offset,  parseEndOffset);  switch  (parseEndOffset  -  offset)  {  //  number  of  digits  parsed  case  2:  milliseconds  =  fraction  *  10;  break;  case  1:  milliseconds  =  fraction  *  100;  break;  default:  [CLASS]  ISO8601Utils  [METHOD]  parse  [RETURN_TYPE]  Date  String  date  ParsePosition  pos  [VARIABLES]  TimeZone  TIMEZONE_UTC  timezone  tz  boolean  hasT  IndexOutOfBoundsException  e  Calendar  calendar  char  c  timezoneIndicator  NumberFormatException  e  String  UTC_ID  act  cleaned  date  input  msg  timezoneId  timezoneOffset  ParseException  ex  Exception  fail  int  day  endOffset  fraction  hour  milliseconds  minutes  month  offset  parseEndOffset  seconds  year  IllegalArgumentException  e  ParsePosition  pos  	projects/Gson5/gson/src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java	1.0	180	181	1	replace	int  endOffset  =  indexOfNonDigit(date,  offset  +  1);	int  parseEndOffset  =  Math.min(endOffset,  offset  +  3);  //  parse  up  to  3  digits    int  fraction  =  parseInt(date,  offset,  parseEndOffset);  	non-compiled	[CE]  variable  endOffset  is  already  defined  in  method  parse(String,ParsePosition)	5	None	replace
2	[BUG]  [BUGGY]  int  endOffset  =  indexOfNonDigit(date,  offset  +  3);  [CE]  variable  endOffset  is  already  defined  in  method  parse(String,ParsePosition)  [FE]      JsonSyntaxException  [CONTEXT]    if  (date.length()  >  offset)  {  char  c  =  date.charAt(offset);  if  (c  !=  'Z'  &&  c  !=  '+'  &&  c  !=  '-')  {  seconds  =  parseInt(date,  offset,  offset  +=  2);  if  (seconds  >  59  &&  seconds  <  63)  seconds  =  59;  //  truncate  up  to  3  leap  seconds  if  (checkOffset(date,  offset,  '.'))  {  offset  +=  1;  int  endOffset  =  indexOfNonDigit(date,  offset  +  1);  //  assume  at  least  one  digit  [BUGGY]  int  endOffset  =  indexOfNonDigit(date,  offset  +  3);  [BUGGY]  int  fraction  =  parseInt(date,  offset,  parseEndOffset);  switch  (parseEndOffset  -  offset)  {  //  number  of  digits  parsed  case  2:  milliseconds  =  fraction  *  10;  break;  case  1:  milliseconds  =  fraction  *  100;  break;  default:  [CLASS]  ISO8601Utils  [METHOD]  parse  [RETURN_TYPE]  Date  String  date  ParsePosition  pos  [VARIABLES]  TimeZone  TIMEZONE_UTC  timezone  tz  boolean  hasT  IndexOutOfBoundsException  e  Calendar  calendar  char  c  timezoneIndicator  NumberFormatException  e  String  UTC_ID  act  cleaned  date  input  msg  timezoneId  timezoneOffset  ParseException  ex  Exception  fail  int  day  endOffset  fraction  hour  milliseconds  minutes  month  offset  parseEndOffset  seconds  year  IllegalArgumentException  e  ParsePosition  pos  	projects/Gson5/gson/src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java	1.0	180	181	1	replace	int  endOffset  =  indexOfNonDigit(date,  offset  +  3);	int  parseEndOffset  =  Math.min(endOffset,  offset  +  3);  //  parse  up  to  3  digits    int  fraction  =  parseInt(date,  offset,  parseEndOffset);  	non-compiled	[CE]  variable  endOffset  is  already  defined  in  method  parse(String,ParsePosition)	5	None	replace
3	[BUG]  [BUGGY]  int  parseEndOffset  =  indexOfNonDigit(date,  offset  +  3);  [CE]  cannot  find  symbol  fraction  [FE]        JsonSyntaxException  [CONTEXT]    if  (date.length()  >  offset)  {  char  c  =  date.charAt(offset);  if  (c  !=  'Z'  &&  c  !=  '+'  &&  c  !=  '-')  {  seconds  =  parseInt(date,  offset,  offset  +=  2);  if  (seconds  >  59  &&  seconds  <  63)  seconds  =  59;  //  truncate  up  to  3  leap  seconds  if  (checkOffset(date,  offset,  '.'))  {  offset  +=  1;  int  endOffset  =  indexOfNonDigit(date,  offset  +  1);  //  assume  at  least  one  digit  [BUGGY]  int  parseEndOffset  =  indexOfNonDigit(date,  offset  +  3);  [BUGGY]  int  fraction  =  parseInt(date,  offset,  parseEndOffset);  switch  (parseEndOffset  -  offset)  {  //  number  of  digits  parsed  case  2:  milliseconds  =  fraction  *  10;  break;  case  1:  milliseconds  =  fraction  *  100;  break;  default:  [CLASS]  ISO8601Utils  [METHOD]  parse  [RETURN_TYPE]  Date  String  date  ParsePosition  pos  [VARIABLES]  TimeZone  TIMEZONE_UTC  timezone  tz  boolean  hasT  IndexOutOfBoundsException  e  Calendar  calendar  char  c  timezoneIndicator  NumberFormatException  e  String  UTC_ID  act  cleaned  date  input  msg  timezoneId  timezoneOffset  ParseException  ex  Exception  fail  int  day  endOffset  fraction  hour  milliseconds  minutes  month  offset  parseEndOffset  seconds  year  IllegalArgumentException  e  ParsePosition  pos  	projects/Gson5/gson/src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java	1.0	180	181	1	replace	int  parseEndOffset  =  indexOfNonDigit(date,  offset  +  3);	int  parseEndOffset  =  Math.min(endOffset,  offset  +  3);  //  parse  up  to  3  digits    int  fraction  =  parseInt(date,  offset,  parseEndOffset);  	non-compiled	[CE]  cannot  find  symbol  fraction	5	None	replace
4	[BUG]  [BUGGY]  int  parseEndOffset  =  Math.min(seconds,  endOffset  +  3);  [CE]  cannot  find  symbol  fraction  [FE]          JsonSyntaxException  [CONTEXT]    if  (date.length()  >  offset)  {  char  c  =  date.charAt(offset);  if  (c  !=  'Z'  &&  c  !=  '+'  &&  c  !=  '-')  {  seconds  =  parseInt(date,  offset,  offset  +=  2);  if  (seconds  >  59  &&  seconds  <  63)  seconds  =  59;  //  truncate  up  to  3  leap  seconds  if  (checkOffset(date,  offset,  '.'))  {  offset  +=  1;  int  endOffset  =  indexOfNonDigit(date,  offset  +  1);  //  assume  at  least  one  digit  [BUGGY]  int  parseEndOffset  =  Math.min(seconds,  endOffset  +  3);  [BUGGY]  int  fraction  =  parseInt(date,  offset,  parseEndOffset);  switch  (parseEndOffset  -  offset)  {  //  number  of  digits  parsed  case  2:  milliseconds  =  fraction  *  10;  break;  case  1:  milliseconds  =  fraction  *  100;  break;  default:  [CLASS]  ISO8601Utils  [METHOD]  parse  [RETURN_TYPE]  Date  String  date  ParsePosition  pos  [VARIABLES]  TimeZone  TIMEZONE_UTC  timezone  tz  boolean  hasT  IndexOutOfBoundsException  e  Calendar  calendar  char  c  timezoneIndicator  NumberFormatException  e  String  UTC_ID  act  cleaned  date  input  msg  timezoneId  timezoneOffset  ParseException  ex  Exception  fail  int  day  endOffset  fraction  hour  milliseconds  minutes  month  offset  parseEndOffset  seconds  year  IllegalArgumentException  e  ParsePosition  pos  	projects/Gson5/gson/src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java	1.0	180	181	1	replace	int  parseEndOffset  =  Math.min(seconds,  endOffset  +  3);	int  parseEndOffset  =  Math.min(endOffset,  offset  +  3);  //  parse  up  to  3  digits    int  fraction  =  parseInt(date,  offset,  parseEndOffset);  	non-compiled	[CE]  cannot  find  symbol  fraction	5	None	replace
5	[BUG]  [BUGGY]  int  seconds  =  parseInt(date,  offset,  endOffset);  [CE]  variable  seconds  is  already  defined  in  method  parse(String,ParsePosition)  [FE]            JsonSyntaxException  [CONTEXT]    if  (date.length()  >  offset)  {  char  c  =  date.charAt(offset);  if  (c  !=  'Z'  &&  c  !=  '+'  &&  c  !=  '-')  {  seconds  =  parseInt(date,  offset,  offset  +=  2);  if  (seconds  >  59  &&  seconds  <  63)  seconds  =  59;  //  truncate  up  to  3  leap  seconds  if  (checkOffset(date,  offset,  '.'))  {  offset  +=  1;  int  endOffset  =  indexOfNonDigit(date,  offset  +  1);  //  assume  at  least  one  digit  [BUGGY]  int  seconds  =  parseInt(date,  offset,  endOffset);  [BUGGY]  int  fraction  =  parseInt(date,  offset,  parseEndOffset);  switch  (parseEndOffset  -  offset)  {  //  number  of  digits  parsed  case  2:  milliseconds  =  fraction  *  10;  break;  case  1:  milliseconds  =  fraction  *  100;  break;  default:  [CLASS]  ISO8601Utils  [METHOD]  parse  [RETURN_TYPE]  Date  String  date  ParsePosition  pos  [VARIABLES]  TimeZone  TIMEZONE_UTC  timezone  tz  boolean  hasT  IndexOutOfBoundsException  e  Calendar  calendar  char  c  timezoneIndicator  NumberFormatException  e  String  UTC_ID  act  cleaned  date  input  msg  timezoneId  timezoneOffset  ParseException  ex  Exception  fail  int  day  endOffset  fraction  hour  milliseconds  minutes  month  offset  parseEndOffset  seconds  year  IllegalArgumentException  e  ParsePosition  pos  	projects/Gson5/gson/src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java	1.0	180	181	1	replace	int  seconds  =  parseInt(date,  offset,  endOffset);	int  parseEndOffset  =  Math.min(endOffset,  offset  +  3);  //  parse  up  to  3  digits    int  fraction  =  parseInt(date,  offset,  parseEndOffset);  	non-compiled	[CE]  variable  seconds  is  already  defined  in  method  parse(String,ParsePosition)	5	None	replace
6	[BUG]  [BUGGY]  int  parseEndOffset  =  indexOfNonDigit(date,  offset  +  1);  [CE]  cannot  find  symbol  fraction  [FE]              JsonSyntaxException  [CONTEXT]    if  (date.length()  >  offset)  {  char  c  =  date.charAt(offset);  if  (c  !=  'Z'  &&  c  !=  '+'  &&  c  !=  '-')  {  seconds  =  parseInt(date,  offset,  offset  +=  2);  if  (seconds  >  59  &&  seconds  <  63)  seconds  =  59;  //  truncate  up  to  3  leap  seconds  if  (checkOffset(date,  offset,  '.'))  {  offset  +=  1;  int  endOffset  =  indexOfNonDigit(date,  offset  +  1);  //  assume  at  least  one  digit  [BUGGY]  int  parseEndOffset  =  indexOfNonDigit(date,  offset  +  1);  [BUGGY]  int  fraction  =  parseInt(date,  offset,  parseEndOffset);  switch  (parseEndOffset  -  offset)  {  //  number  of  digits  parsed  case  2:  milliseconds  =  fraction  *  10;  break;  case  1:  milliseconds  =  fraction  *  100;  break;  default:  [CLASS]  ISO8601Utils  [METHOD]  parse  [RETURN_TYPE]  Date  String  date  ParsePosition  pos  [VARIABLES]  TimeZone  TIMEZONE_UTC  timezone  tz  boolean  hasT  IndexOutOfBoundsException  e  Calendar  calendar  char  c  timezoneIndicator  NumberFormatException  e  String  UTC_ID  act  cleaned  date  input  msg  timezoneId  timezoneOffset  ParseException  ex  Exception  fail  int  day  endOffset  fraction  hour  milliseconds  minutes  month  offset  parseEndOffset  seconds  year  IllegalArgumentException  e  ParsePosition  pos  	projects/Gson5/gson/src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java	1.0	180	181	1	replace	int  parseEndOffset  =  indexOfNonDigit(date,  offset  +  1);	int  parseEndOffset  =  Math.min(endOffset,  offset  +  3);  //  parse  up  to  3  digits    int  fraction  =  parseInt(date,  offset,  parseEndOffset);  	non-compiled	[CE]  cannot  find  symbol  fraction	5	None	replace
7	[BUG]  [BUGGY]  int  parseEndOffset  =  Math.min(parseEndOffset,  endOffset  +  3);  [CE]  cannot  find  symbol  fraction  [FE]                JsonSyntaxException  [CONTEXT]    if  (date.length()  >  offset)  {  char  c  =  date.charAt(offset);  if  (c  !=  'Z'  &&  c  !=  '+'  &&  c  !=  '-')  {  seconds  =  parseInt(date,  offset,  offset  +=  2);  if  (seconds  >  59  &&  seconds  <  63)  seconds  =  59;  //  truncate  up  to  3  leap  seconds  if  (checkOffset(date,  offset,  '.'))  {  offset  +=  1;  int  endOffset  =  indexOfNonDigit(date,  offset  +  1);  //  assume  at  least  one  digit  [BUGGY]  int  parseEndOffset  =  Math.min(parseEndOffset,  endOffset  +  3);  [BUGGY]  int  fraction  =  parseInt(date,  offset,  parseEndOffset);  switch  (parseEndOffset  -  offset)  {  //  number  of  digits  parsed  case  2:  milliseconds  =  fraction  *  10;  break;  case  1:  milliseconds  =  fraction  *  100;  break;  default:  [CLASS]  ISO8601Utils  [METHOD]  parse  [RETURN_TYPE]  Date  String  date  ParsePosition  pos  [VARIABLES]  TimeZone  TIMEZONE_UTC  timezone  tz  boolean  hasT  IndexOutOfBoundsException  e  Calendar  calendar  char  c  timezoneIndicator  NumberFormatException  e  String  UTC_ID  act  cleaned  date  input  msg  timezoneId  timezoneOffset  ParseException  ex  Exception  fail  int  day  endOffset  fraction  hour  milliseconds  minutes  month  offset  parseEndOffset  seconds  year  IllegalArgumentException  e  ParsePosition  pos  	projects/Gson5/gson/src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java	1.0	180	181	1	replace	int  parseEndOffset  =  Math.min(parseEndOffset,  endOffset  +  3);	int  parseEndOffset  =  Math.min(endOffset,  offset  +  3);  //  parse  up  to  3  digits    int  fraction  =  parseInt(date,  offset,  parseEndOffset);  	non-compiled	[CE]  cannot  find  symbol  fraction	5	None	replace
8	[BUG]  [BUGGY]    [CE]  cannot  find  symbol  parseEndOffset  [FE]                  JsonSyntaxException  [CONTEXT]    if  (date.length()  >  offset)  {  char  c  =  date.charAt(offset);  if  (c  !=  'Z'  &&  c  !=  '+'  &&  c  !=  '-')  {  seconds  =  parseInt(date,  offset,  offset  +=  2);  if  (seconds  >  59  &&  seconds  <  63)  seconds  =  59;  //  truncate  up  to  3  leap  seconds  if  (checkOffset(date,  offset,  '.'))  {  offset  +=  1;  int  endOffset  =  indexOfNonDigit(date,  offset  +  1);  //  assume  at  least  one  digit  [BUGGY]    [BUGGY]  int  fraction  =  parseInt(date,  offset,  parseEndOffset);  switch  (parseEndOffset  -  offset)  {  //  number  of  digits  parsed  case  2:  milliseconds  =  fraction  *  10;  break;  case  1:  milliseconds  =  fraction  *  100;  break;  default:  [CLASS]  ISO8601Utils  [METHOD]  parse  [RETURN_TYPE]  Date  String  date  ParsePosition  pos  [VARIABLES]  TimeZone  TIMEZONE_UTC  timezone  tz  boolean  hasT  IndexOutOfBoundsException  e  Calendar  calendar  char  c  timezoneIndicator  NumberFormatException  e  String  UTC_ID  act  cleaned  date  input  msg  timezoneId  timezoneOffset  ParseException  ex  Exception  fail  int  day  endOffset  fraction  hour  milliseconds  minutes  month  offset  parseEndOffset  seconds  year  IllegalArgumentException  e  ParsePosition  pos  	projects/Gson5/gson/src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java	1.0	180	181	1	replace	  	int  parseEndOffset  =  Math.min(endOffset,  offset  +  3);  //  parse  up  to  3  digits    int  fraction  =  parseInt(date,  offset,  parseEndOffset);  	non-compiled	[CE]  cannot  find  symbol  parseEndOffset	5	None	replace
9	[BUG]  [BUGGY]  int  parseEndOffset  =  Math.min(endOffset,  pos.length);  [CE]  cannot  find  symbol  length  [FE]    JsonSyntaxException  [CONTEXT]    if  (date.length()  >  offset)  {  char  c  =  date.charAt(offset);  if  (c  !=  'Z'  &&  c  !=  '+'  &&  c  !=  '-')  {  seconds  =  parseInt(date,  offset,  offset  +=  2);  if  (seconds  >  59  &&  seconds  <  63)  seconds  =  59;  //  truncate  up  to  3  leap  seconds  if  (checkOffset(date,  offset,  '.'))  {  offset  +=  1;  int  endOffset  =  indexOfNonDigit(date,  offset  +  1);  //  assume  at  least  one  digit  [BUGGY]  int  parseEndOffset  =  Math.min(endOffset,  pos.length);  [BUGGY]  int  fraction  =  parseInt(date,  offset,  parseEndOffset);  switch  (parseEndOffset  -  offset)  {  //  number  of  digits  parsed  case  2:  milliseconds  =  fraction  *  10;  break;  case  1:  milliseconds  =  fraction  *  100;  break;  default:  [CLASS]  ISO8601Utils  [METHOD]  parse  [RETURN_TYPE]  Date  String  date  ParsePosition  pos  [VARIABLES]  TimeZone  TIMEZONE_UTC  timezone  tz  boolean  hasT  IndexOutOfBoundsException  e  Calendar  calendar  char  c  timezoneIndicator  NumberFormatException  e  String  UTC_ID  act  cleaned  date  input  msg  timezoneId  timezoneOffset  ParseException  ex  Exception  fail  int  day  endOffset  fraction  hour  milliseconds  minutes  month  offset  parseEndOffset  seconds  year  IllegalArgumentException  e  ParsePosition  pos  	projects/Gson5/gson/src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java	1.0	180	181	1	replace	int  parseEndOffset  =  Math.min(endOffset,  pos.length);	int  parseEndOffset  =  Math.min(endOffset,  offset  +  3);  //  parse  up  to  3  digits    int  fraction  =  parseInt(date,  offset,  parseEndOffset);  	non-compiled	[CE]  cannot  find  symbol  length	5	None	replace
10	[BUG]  [BUGGY]  int  parseEndOffset  =  Math.min(parseEndOffset,  endOffset  +  1);  [CE]  cannot  find  symbol  fraction  [FE]      JsonSyntaxException  [CONTEXT]    if  (date.length()  >  offset)  {  char  c  =  date.charAt(offset);  if  (c  !=  'Z'  &&  c  !=  '+'  &&  c  !=  '-')  {  seconds  =  parseInt(date,  offset,  offset  +=  2);  if  (seconds  >  59  &&  seconds  <  63)  seconds  =  59;  //  truncate  up  to  3  leap  seconds  if  (checkOffset(date,  offset,  '.'))  {  offset  +=  1;  int  endOffset  =  indexOfNonDigit(date,  offset  +  1);  //  assume  at  least  one  digit  [BUGGY]  int  parseEndOffset  =  Math.min(parseEndOffset,  endOffset  +  1);  [BUGGY]  int  fraction  =  parseInt(date,  offset,  parseEndOffset);  switch  (parseEndOffset  -  offset)  {  //  number  of  digits  parsed  case  2:  milliseconds  =  fraction  *  10;  break;  case  1:  milliseconds  =  fraction  *  100;  break;  default:  [CLASS]  ISO8601Utils  [METHOD]  parse  [RETURN_TYPE]  Date  String  date  ParsePosition  pos  [VARIABLES]  TimeZone  TIMEZONE_UTC  timezone  tz  boolean  hasT  IndexOutOfBoundsException  e  Calendar  calendar  char  c  timezoneIndicator  NumberFormatException  e  String  UTC_ID  act  cleaned  date  input  msg  timezoneId  timezoneOffset  ParseException  ex  Exception  fail  int  day  endOffset  fraction  hour  milliseconds  minutes  month  offset  parseEndOffset  seconds  year  IllegalArgumentException  e  ParsePosition  pos  	projects/Gson5/gson/src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java	1.0	180	181	1	replace	int  parseEndOffset  =  Math.min(parseEndOffset,  endOffset  +  1);	int  parseEndOffset  =  Math.min(endOffset,  offset  +  3);  //  parse  up  to  3  digits    int  fraction  =  parseInt(date,  offset,  parseEndOffset);  	non-compiled	[CE]  cannot  find  symbol  fraction	5	None	replace
