projects/JacksonCore16/src/main/java/com/fasterxml/jackson/core/util/JsonParserSequence.java62returnnewJsonParserSequence(newJsonParser[]{first,second});
projects/JacksonCore16/src/main/java/com/fasterxml/jackson/core/util/JsonParserSequence.java62returnnewJsonParserSequence(newJsonParser[]{first,second,_nextParser});
projects/JacksonCore16/src/main/java/com/fasterxml/jackson/core/util/JsonParserSequence.java62returnnewJsonParserSequence(newJsonParser[]{first,second},_nextParser);
projects/JacksonCore16/src/main/java/com/fasterxml/jackson/core/util/JsonParserSequence.java62returnnewJsonParserSequence(newJsonParser[]{first,second},_parsers);
projects/JacksonCore16/src/main/java/com/fasterxml/jackson/core/util/JsonParserSequence.java62
projects/JacksonCore16/src/main/java/com/fasterxml/jackson/core/util/JsonParserSequence.java62returnnewJsonParserSequence(newJsonParser[]{first,second==_parsers);
projects/JacksonCore16/src/main/java/com/fasterxml/jackson/core/util/JsonParserSequence.java62returnnewJsonParserSequence(newJsonParser[]{first,second,_parsers});
projects/JacksonCore16/src/main/java/com/fasterxml/jackson/core/util/JsonParserSequence.java62returnnewJsonParserSequence(newJsonParser[]{first,second,_parsers.length});
projects/JacksonCore16/src/main/java/com/fasterxml/jackson/core/util/JsonParserSequence.java62returnnewJsonParserSequence(newJsonParser[]{first,second,createFlattened(first,second});
projects/JacksonCore16/src/main/java/com/fasterxml/jackson/core/util/JsonParserSequence.java62returnnewJsonParserSequence(newJsonParser[]{first,second,_parsers.size()});
projects/JacksonCore16/src/main/java/com/fasterxml/jackson/core/util/JsonParserSequence.java62((JsonParserSequence)second).addFlattenedActiveParsers(p);
projects/JacksonCore16/src/main/java/com/fasterxml/jackson/core/util/JsonParserSequence.java62((JsonParserSequence)first).addFlattenedActiveParsers(p);
projects/JacksonCore16/src/main/java/com/fasterxml/jackson/core/util/JsonParserSequence.java62((JsonParserSequence)second).setFlattenedActiveParsers(p);
projects/JacksonCore16/src/main/java/com/fasterxml/jackson/core/util/JsonParserSequence.java62_parsers.add(first);
projects/JacksonCore16/src/main/java/com/fasterxml/jackson/core/util/JsonParserSequence.java62returnnewJsonParserSequence(newJsonParser[]{first,second},_parsers.length);
projects/JacksonCore16/src/main/java/com/fasterxml/jackson/core/util/JsonParserSequence.java62returnnewJsonParserSequence(newJsonParser[]{first,second},_parsers.size());
