bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  StringBuffer  buf  =  new  StringBuffer(mRules.length  /  2);  [CE]  illegal  start  of  type  [FE]                    ComparisonFailure      [CONTEXT]      protected  StringBuffer  applyRules(Calendar  calendar,  StringBuffer  buf)  {      [BUGGY]  StringBuffer  buf  =  new  StringBuffer(mRules.length  /  2);  [BUGGY]      Rule[]  rules  =  mRules;  int  len  =  mRules.length;  for  (int  i  =  0;  i  <  len;  i++)  {  rules[i].appendTo(buf,  calendar);  }  return  buf;  }  [CLASS]  FastDateFormat  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  Pair  [METHOD]  applyRules  [RETURN_TYPE]  StringBuffer  Calendar  calendar  StringBuffer  buf  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  Calendar  calendar  TwoDigitYearField  INSTANCE  String  cDefaultPattern  mDaylight  mPattern  mStandard  mValue  pattern  sub  token  value  String[]  AmPmStrings  ERAs  mValues  months  shortMonths  shortWeekdays  values  weekdays  long  millis  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  dateStyle  field  i  len  length  mField  mMaxLengthEstimate  mSize  mStyle  padding  size  style  timeStyle  tokenLen  Rule[]  mRules  rules  TimeZone  mTimeZone  timeZone  tz  StringBuffer  buf  boolean  colon  daylight  inLiteral  mColon  mLocaleForced  mTimeZoneForced  timeZoneForced  NumberRule  mRule  rule  char  c  mValue  peek  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  Object  key  mObj1  mObj2  obj  obj1  obj2  Map  cDateInstanceCache  cDateTimeInstanceCache  cInstanceCache  cTimeInstanceCache  cTimeZoneDisplayCache  	projects/Lang38/src/java/org/apache/commons/lang3/time/FastDateFormat.java	0.4082482904638631	887	887	1	replace	StringBuffer  buf  =  new  StringBuffer(mRules.length  /  2);	  StringBuffer    buf    =    new    StringBuffer(mRules.length    /    1);    	non-compiled	[CE]  illegal  start  of  type	30	None	replace
2	[BUG]  [BUGGY]  StringBuffer  buf  =  new  StringBuffer(mRules.length  *  1);  [CE]  illegal  start  of  type  [FE]                      ComparisonFailure      [CONTEXT]      protected  StringBuffer  applyRules(Calendar  calendar,  StringBuffer  buf)  {      [BUGGY]  StringBuffer  buf  =  new  StringBuffer(mRules.length  *  1);  [BUGGY]      Rule[]  rules  =  mRules;  int  len  =  mRules.length;  for  (int  i  =  0;  i  <  len;  i++)  {  rules[i].appendTo(buf,  calendar);  }  return  buf;  }  [CLASS]  FastDateFormat  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  Pair  [METHOD]  applyRules  [RETURN_TYPE]  StringBuffer  Calendar  calendar  StringBuffer  buf  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  Calendar  calendar  TwoDigitYearField  INSTANCE  String  cDefaultPattern  mDaylight  mPattern  mStandard  mValue  pattern  sub  token  value  String[]  AmPmStrings  ERAs  mValues  months  shortMonths  shortWeekdays  values  weekdays  long  millis  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  dateStyle  field  i  len  length  mField  mMaxLengthEstimate  mSize  mStyle  padding  size  style  timeStyle  tokenLen  Rule[]  mRules  rules  TimeZone  mTimeZone  timeZone  tz  StringBuffer  buf  boolean  colon  daylight  inLiteral  mColon  mLocaleForced  mTimeZoneForced  timeZoneForced  NumberRule  mRule  rule  char  c  mValue  peek  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  Object  key  mObj1  mObj2  obj  obj1  obj2  Map  cDateInstanceCache  cDateTimeInstanceCache  cInstanceCache  cTimeInstanceCache  cTimeZoneDisplayCache  	projects/Lang38/src/java/org/apache/commons/lang3/time/FastDateFormat.java	0.4082482904638631	887	887	1	replace	StringBuffer  buf  =  new  StringBuffer(mRules.length  *  1);	  StringBuffer    buf    =    new    StringBuffer(mRules.length    /    1);    	non-compiled	[CE]  illegal  start  of  type	30	None	replace
3	[BUG]  [BUGGY]  StringBuffer  buf  =  new  StringBuffer(calendar.length  /  1);  [CE]  illegal  start  of  type  [FE]                        ComparisonFailure      [CONTEXT]      protected  StringBuffer  applyRules(Calendar  calendar,  StringBuffer  buf)  {      [BUGGY]  StringBuffer  buf  =  new  StringBuffer(calendar.length  /  1);  [BUGGY]      Rule[]  rules  =  mRules;  int  len  =  mRules.length;  for  (int  i  =  0;  i  <  len;  i++)  {  rules[i].appendTo(buf,  calendar);  }  return  buf;  }  [CLASS]  FastDateFormat  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  Pair  [METHOD]  applyRules  [RETURN_TYPE]  StringBuffer  Calendar  calendar  StringBuffer  buf  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  Calendar  calendar  TwoDigitYearField  INSTANCE  String  cDefaultPattern  mDaylight  mPattern  mStandard  mValue  pattern  sub  token  value  String[]  AmPmStrings  ERAs  mValues  months  shortMonths  shortWeekdays  values  weekdays  long  millis  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  dateStyle  field  i  len  length  mField  mMaxLengthEstimate  mSize  mStyle  padding  size  style  timeStyle  tokenLen  Rule[]  mRules  rules  TimeZone  mTimeZone  timeZone  tz  StringBuffer  buf  boolean  colon  daylight  inLiteral  mColon  mLocaleForced  mTimeZoneForced  timeZoneForced  NumberRule  mRule  rule  char  c  mValue  peek  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  Object  key  mObj1  mObj2  obj  obj1  obj2  Map  cDateInstanceCache  cDateTimeInstanceCache  cInstanceCache  cTimeInstanceCache  cTimeZoneDisplayCache  	projects/Lang38/src/java/org/apache/commons/lang3/time/FastDateFormat.java	0.4082482904638631	887	887	1	replace	StringBuffer  buf  =  new  StringBuffer(calendar.length  /  1);	  StringBuffer    buf    =    new    StringBuffer(mRules.length    /    1);    	non-compiled	[CE]  illegal  start  of  type	30	None	replace
4	[BUG]  [BUGGY]  Rule[]  rules  =  mRules  ==  null?  buf  :  new  Rule[mRules.length  +  1];  [CE]  illegal  start  of  type  [FE]            ComparisonFailure      [CONTEXT]      protected  StringBuffer  applyRules(Calendar  calendar,  StringBuffer  buf)  {      [BUGGY]  Rule[]  rules  =  mRules  ==  null?  buf  :  new  Rule[mRules.length  +  1];  [BUGGY]      int  len  =  mRules.length;  for  (int  i  =  0;  i  <  len;  i++)  {  rules[i].appendTo(buf,  calendar);  }  return  buf;  }  [CLASS]  FastDateFormat  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  Pair  [METHOD]  applyRules  [RETURN_TYPE]  StringBuffer  Calendar  calendar  StringBuffer  buf  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  Calendar  calendar  TwoDigitYearField  INSTANCE  String  cDefaultPattern  mDaylight  mPattern  mStandard  mValue  pattern  sub  token  value  String[]  AmPmStrings  ERAs  mValues  months  shortMonths  shortWeekdays  values  weekdays  long  millis  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  dateStyle  field  i  len  length  mField  mMaxLengthEstimate  mSize  mStyle  padding  size  style  timeStyle  tokenLen  Rule[]  mRules  rules  TimeZone  mTimeZone  timeZone  tz  StringBuffer  buf  boolean  colon  daylight  inLiteral  mColon  mLocaleForced  mTimeZoneForced  timeZoneForced  NumberRule  mRule  rule  char  c  mValue  peek  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  Object  key  mObj1  mObj2  obj  obj1  obj2  Map  cDateInstanceCache  cDateTimeInstanceCache  cInstanceCache  cTimeInstanceCache  cTimeZoneDisplayCache  	projects/Lang38/src/java/org/apache/commons/lang3/time/FastDateFormat.java	0.4082482904638631	887	887	1	replace	Rule[]  rules  =  mRules  ==  null?  buf  :  new  Rule[mRules.length  +  1];	  Rule[]    rules    =    mRules    ==    null?    buf    :    new    Rule[mRules.length];    	non-compiled	[CE]  illegal  start  of  type	49	None	replace
5	[BUG]  [BUGGY]  Rule[]  rules  =  mRules  ==  null?  buf  :  new  Rule[mRules.length  -  1];  [CE]  illegal  start  of  type  [FE]              ComparisonFailure      [CONTEXT]      protected  StringBuffer  applyRules(Calendar  calendar,  StringBuffer  buf)  {      [BUGGY]  Rule[]  rules  =  mRules  ==  null?  buf  :  new  Rule[mRules.length  -  1];  [BUGGY]      int  len  =  mRules.length;  for  (int  i  =  0;  i  <  len;  i++)  {  rules[i].appendTo(buf,  calendar);  }  return  buf;  }  [CLASS]  FastDateFormat  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  Pair  [METHOD]  applyRules  [RETURN_TYPE]  StringBuffer  Calendar  calendar  StringBuffer  buf  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  Calendar  calendar  TwoDigitYearField  INSTANCE  String  cDefaultPattern  mDaylight  mPattern  mStandard  mValue  pattern  sub  token  value  String[]  AmPmStrings  ERAs  mValues  months  shortMonths  shortWeekdays  values  weekdays  long  millis  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  dateStyle  field  i  len  length  mField  mMaxLengthEstimate  mSize  mStyle  padding  size  style  timeStyle  tokenLen  Rule[]  mRules  rules  TimeZone  mTimeZone  timeZone  tz  StringBuffer  buf  boolean  colon  daylight  inLiteral  mColon  mLocaleForced  mTimeZoneForced  timeZoneForced  NumberRule  mRule  rule  char  c  mValue  peek  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  Object  key  mObj1  mObj2  obj  obj1  obj2  Map  cDateInstanceCache  cDateTimeInstanceCache  cInstanceCache  cTimeInstanceCache  cTimeZoneDisplayCache  	projects/Lang38/src/java/org/apache/commons/lang3/time/FastDateFormat.java	0.4082482904638631	887	887	1	replace	Rule[]  rules  =  mRules  ==  null?  buf  :  new  Rule[mRules.length  -  1];	  Rule[]    rules    =    mRules    ==    null?    buf    :    new    Rule[mRules.length];    	non-compiled	[CE]  illegal  start  of  type	49	None	replace
6	[BUG]  [BUGGY]  Rule[]  rules  =  buf  ==  null?  mRules.length  :  new  Rule[mRules.length];  [CE]  illegal  start  of  type  [FE]                ComparisonFailure      [CONTEXT]      protected  StringBuffer  applyRules(Calendar  calendar,  StringBuffer  buf)  {      [BUGGY]  Rule[]  rules  =  buf  ==  null?  mRules.length  :  new  Rule[mRules.length];  [BUGGY]      int  len  =  mRules.length;  for  (int  i  =  0;  i  <  len;  i++)  {  rules[i].appendTo(buf,  calendar);  }  return  buf;  }  [CLASS]  FastDateFormat  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  Pair  [METHOD]  applyRules  [RETURN_TYPE]  StringBuffer  Calendar  calendar  StringBuffer  buf  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  Calendar  calendar  TwoDigitYearField  INSTANCE  String  cDefaultPattern  mDaylight  mPattern  mStandard  mValue  pattern  sub  token  value  String[]  AmPmStrings  ERAs  mValues  months  shortMonths  shortWeekdays  values  weekdays  long  millis  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  dateStyle  field  i  len  length  mField  mMaxLengthEstimate  mSize  mStyle  padding  size  style  timeStyle  tokenLen  Rule[]  mRules  rules  TimeZone  mTimeZone  timeZone  tz  StringBuffer  buf  boolean  colon  daylight  inLiteral  mColon  mLocaleForced  mTimeZoneForced  timeZoneForced  NumberRule  mRule  rule  char  c  mValue  peek  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  Object  key  mObj1  mObj2  obj  obj1  obj2  Map  cDateInstanceCache  cDateTimeInstanceCache  cInstanceCache  cTimeInstanceCache  cTimeZoneDisplayCache  	projects/Lang38/src/java/org/apache/commons/lang3/time/FastDateFormat.java	0.4082482904638631	887	887	1	replace	Rule[]  rules  =  buf  ==  null?  mRules.length  :  new  Rule[mRules.length];	  Rule[]    rules    =    mRules    ==    null?    buf    :    new    Rule[mRules.length];    	non-compiled	[CE]  illegal  start  of  type	49	None	replace
7	[BUG]  [BUGGY]  Calendar  calendar  =  Calendar.getInstance(mTimeZone,  mDaylight,  buf);  [CE]  illegal  start  of  type  [FE]                  ComparisonFailure      [CONTEXT]      protected  StringBuffer  applyRules(Calendar  calendar,  StringBuffer  buf)  {      [BUGGY]  Calendar  calendar  =  Calendar.getInstance(mTimeZone,  mDaylight,  buf);  [BUGGY]      Rule[]  rules  =  mRules;  int  len  =  mRules.length;  for  (int  i  =  0;  i  <  len;  i++)  {  rules[i].appendTo(buf,  calendar);  }  return  buf;  }  [CLASS]  FastDateFormat  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  Pair  [METHOD]  applyRules  [RETURN_TYPE]  StringBuffer  Calendar  calendar  StringBuffer  buf  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  Calendar  calendar  TwoDigitYearField  INSTANCE  String  cDefaultPattern  mDaylight  mPattern  mStandard  mValue  pattern  sub  token  value  String[]  AmPmStrings  ERAs  mValues  months  shortMonths  shortWeekdays  values  weekdays  long  millis  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  dateStyle  field  i  len  length  mField  mMaxLengthEstimate  mSize  mStyle  padding  size  style  timeStyle  tokenLen  Rule[]  mRules  rules  TimeZone  mTimeZone  timeZone  tz  StringBuffer  buf  boolean  colon  daylight  inLiteral  mColon  mLocaleForced  mTimeZoneForced  timeZoneForced  NumberRule  mRule  rule  char  c  mValue  peek  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  Object  key  mObj1  mObj2  obj  obj1  obj2  Map  cDateInstanceCache  cDateTimeInstanceCache  cInstanceCache  cTimeInstanceCache  cTimeZoneDisplayCache  	projects/Lang38/src/java/org/apache/commons/lang3/time/FastDateFormat.java	0.4082482904638631	887	887	1	replace	Calendar  calendar  =  Calendar.getInstance(mTimeZone,  mDaylight,  buf);	  Calendar    calendar    =    Calendar.getInstance(mTimeZone,    mDaylight);    	non-compiled	[CE]  illegal  start  of  type	66	None	replace
8	[BUG]  [BUGGY]  Calendar  calendar  =  Calendar.getInstance(mTimeZone,  mStandard);  [CE]  illegal  start  of  type  [FE]                    ComparisonFailure      [CONTEXT]      protected  StringBuffer  applyRules(Calendar  calendar,  StringBuffer  buf)  {      [BUGGY]  Calendar  calendar  =  Calendar.getInstance(mTimeZone,  mStandard);  [BUGGY]      Rule[]  rules  =  mRules;  int  len  =  mRules.length;  for  (int  i  =  0;  i  <  len;  i++)  {  rules[i].appendTo(buf,  calendar);  }  return  buf;  }  [CLASS]  FastDateFormat  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  Pair  [METHOD]  applyRules  [RETURN_TYPE]  StringBuffer  Calendar  calendar  StringBuffer  buf  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  Calendar  calendar  TwoDigitYearField  INSTANCE  String  cDefaultPattern  mDaylight  mPattern  mStandard  mValue  pattern  sub  token  value  String[]  AmPmStrings  ERAs  mValues  months  shortMonths  shortWeekdays  values  weekdays  long  millis  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  dateStyle  field  i  len  length  mField  mMaxLengthEstimate  mSize  mStyle  padding  size  style  timeStyle  tokenLen  Rule[]  mRules  rules  TimeZone  mTimeZone  timeZone  tz  StringBuffer  buf  boolean  colon  daylight  inLiteral  mColon  mLocaleForced  mTimeZoneForced  timeZoneForced  NumberRule  mRule  rule  char  c  mValue  peek  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  Object  key  mObj1  mObj2  obj  obj1  obj2  Map  cDateInstanceCache  cDateTimeInstanceCache  cInstanceCache  cTimeInstanceCache  cTimeZoneDisplayCache  	projects/Lang38/src/java/org/apache/commons/lang3/time/FastDateFormat.java	0.4082482904638631	887	887	1	replace	Calendar  calendar  =  Calendar.getInstance(mTimeZone,  mStandard);	  Calendar    calendar    =    Calendar.getInstance(mTimeZone,    mDaylight);    	non-compiled	[CE]  illegal  start  of  type	66	None	replace
9	[BUG]  [BUGGY]  Calendar  calendar  =  Calendar.getInstance(mTimeZone,  mMaxLengthEstimate);  [CE]  illegal  start  of  type  [FE]                      ComparisonFailure      [CONTEXT]      protected  StringBuffer  applyRules(Calendar  calendar,  StringBuffer  buf)  {      [BUGGY]  Calendar  calendar  =  Calendar.getInstance(mTimeZone,  mMaxLengthEstimate);  [BUGGY]      Rule[]  rules  =  mRules;  int  len  =  mRules.length;  for  (int  i  =  0;  i  <  len;  i++)  {  rules[i].appendTo(buf,  calendar);  }  return  buf;  }  [CLASS]  FastDateFormat  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  Pair  [METHOD]  applyRules  [RETURN_TYPE]  StringBuffer  Calendar  calendar  StringBuffer  buf  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  Calendar  calendar  TwoDigitYearField  INSTANCE  String  cDefaultPattern  mDaylight  mPattern  mStandard  mValue  pattern  sub  token  value  String[]  AmPmStrings  ERAs  mValues  months  shortMonths  shortWeekdays  values  weekdays  long  millis  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  dateStyle  field  i  len  length  mField  mMaxLengthEstimate  mSize  mStyle  padding  size  style  timeStyle  tokenLen  Rule[]  mRules  rules  TimeZone  mTimeZone  timeZone  tz  StringBuffer  buf  boolean  colon  daylight  inLiteral  mColon  mLocaleForced  mTimeZoneForced  timeZoneForced  NumberRule  mRule  rule  char  c  mValue  peek  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  Object  key  mObj1  mObj2  obj  obj1  obj2  Map  cDateInstanceCache  cDateTimeInstanceCache  cInstanceCache  cTimeInstanceCache  cTimeZoneDisplayCache  	projects/Lang38/src/java/org/apache/commons/lang3/time/FastDateFormat.java	0.4082482904638631	887	887	1	replace	Calendar  calendar  =  Calendar.getInstance(mTimeZone,  mMaxLengthEstimate);	  Calendar    calendar    =    Calendar.getInstance(mTimeZone,    mDaylight);    	non-compiled	[CE]  illegal  start  of  type	66	None	replace
10	[BUG]  [BUGGY]  Rule[]  rules  =  new  Rule[mRules.length  +  3];  [CE]  illegal  start  of  type  [FE]              ComparisonFailure      [CONTEXT]      protected  StringBuffer  applyRules(Calendar  calendar,  StringBuffer  buf)  {      [BUGGY]  Rule[]  rules  =  new  Rule[mRules.length  +  3];  [BUGGY]      int  len  =  mRules.length;  for  (int  i  =  0;  i  <  len;  i++)  {  rules[i].appendTo(buf,  calendar);  }  return  buf;  }  [CLASS]  FastDateFormat  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  Pair  [METHOD]  applyRules  [RETURN_TYPE]  StringBuffer  Calendar  calendar  StringBuffer  buf  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  Calendar  calendar  TwoDigitYearField  INSTANCE  String  cDefaultPattern  mDaylight  mPattern  mStandard  mValue  pattern  sub  token  value  String[]  AmPmStrings  ERAs  mValues  months  shortMonths  shortWeekdays  values  weekdays  long  millis  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  dateStyle  field  i  len  length  mField  mMaxLengthEstimate  mSize  mStyle  padding  size  style  timeStyle  tokenLen  Rule[]  mRules  rules  TimeZone  mTimeZone  timeZone  tz  StringBuffer  buf  boolean  colon  daylight  inLiteral  mColon  mLocaleForced  mTimeZoneForced  timeZoneForced  NumberRule  mRule  rule  char  c  mValue  peek  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  Object  key  mObj1  mObj2  obj  obj1  obj2  Map  cDateInstanceCache  cDateTimeInstanceCache  cInstanceCache  cTimeInstanceCache  cTimeZoneDisplayCache  	projects/Lang38/src/java/org/apache/commons/lang3/time/FastDateFormat.java	0.4082482904638631	887	887	1	replace	Rule[]  rules  =  new  Rule[mRules.length  +  3];	  Rule[]    rules    =    new    Rule[mRules.length    +    1];    	non-compiled	[CE]  illegal  start  of  type	8	None	replace
