bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar++,  getNegativeCoefficientSum(constraint.getValue()));  getNegativeCoefficientSum(constraint.getValue()));  [CE]  illegal  start  of  expression  [FE]          AssertionError    [CONTEXT]    int  artificialVar  =  0;  for  (int  i  =  0;  i  <  constraints.size();  i++)  {  LinearConstraint  constraint  =  constraints.get(i);  int  row  =  getNumObjectiveFunctions()  +  i;  copyArray(constraint.getCoefficients().toArray(),  matrix.getDataRef()[row]);  if  (!restrictToNonNegative)  {    [BUGGY]  matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar++,  getNegativeCoefficientSum(constraint.getValue()));  getNegativeCoefficientSum(constraint.getValue()));  [BUGGY]    matrix.setEntry(row,  getSlackVariableOffset()  -  1,      getInvertedCoefficientSum(constraint.getCoefficients()));  getInvertedCoefficientSum(constraint.getCoefficients()));  }  matrix.setEntry(row,  width  -  1,  constraint.getValue());  if  (constraint.getRelationship()  ==  Relationship.LEQ)  {  matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar++,  1);//  slack  }  else  if  (constraint.getRelationship()  ==  Relationship.GEQ)  {  [CLASS]  SimplexTableau  [METHOD]  createTableau  [RETURN_TYPE]  RealMatrix  final  boolean  maximize  [VARIABLES]  boolean  maximize  restrictToNonNegative  RealMatrix  tableau  Array2DRowRealMatrix  matrix  double  epsilon  RealVector  objectiveCoefficients  LinearObjectiveFunction  f  LinearConstraint  constraint  List  columnLabels  constraints  String  NEGATIVE_VAR_COLUMN_LABEL  int  DEFAULT_ULPS  artificialVar  height  i  maxUlps  numArtificialVariables  numDecisionVariables  numSlackVariables  row  slackVar  width  zIndex  long  serialVersionUID  	projects/Math33/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java	0.2886751345948129	215	216	1	replace	matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar++,  getNegativeCoefficientSum(constraint.getValue()));  getNegativeCoefficientSum(constraint.getValue()));	      matrix.setEntry(row,    getSlackVariableOffset()    -    1,    getNegativeCoefficientSum(constraint.getValue()));    getNegativeCoefficientSum(constraint.getValue()));    	non-compiled	[CE]  illegal  start  of  expression	12	None	replace
2	[BUG]  [BUGGY]  matrix.setEntry(row,  getSlackVariableOffset()  -  1,  getInvertedCoefficientSum(constraint.getValue()));  getNegativeCoefficientSum(constraint.getValue()));  [CE]  illegal  start  of  expression  [FE]            AssertionError    [CONTEXT]    int  artificialVar  =  0;  for  (int  i  =  0;  i  <  constraints.size();  i++)  {  LinearConstraint  constraint  =  constraints.get(i);  int  row  =  getNumObjectiveFunctions()  +  i;  copyArray(constraint.getCoefficients().toArray(),  matrix.getDataRef()[row]);  if  (!restrictToNonNegative)  {    [BUGGY]  matrix.setEntry(row,  getSlackVariableOffset()  -  1,  getInvertedCoefficientSum(constraint.getValue()));  getNegativeCoefficientSum(constraint.getValue()));  [BUGGY]    matrix.setEntry(row,  getSlackVariableOffset()  -  1,      getInvertedCoefficientSum(constraint.getCoefficients()));  getInvertedCoefficientSum(constraint.getCoefficients()));  }  matrix.setEntry(row,  width  -  1,  constraint.getValue());  if  (constraint.getRelationship()  ==  Relationship.LEQ)  {  matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar++,  1);//  slack  }  else  if  (constraint.getRelationship()  ==  Relationship.GEQ)  {  [CLASS]  SimplexTableau  [METHOD]  createTableau  [RETURN_TYPE]  RealMatrix  final  boolean  maximize  [VARIABLES]  boolean  maximize  restrictToNonNegative  RealMatrix  tableau  Array2DRowRealMatrix  matrix  double  epsilon  RealVector  objectiveCoefficients  LinearObjectiveFunction  f  LinearConstraint  constraint  List  columnLabels  constraints  String  NEGATIVE_VAR_COLUMN_LABEL  int  DEFAULT_ULPS  artificialVar  height  i  maxUlps  numArtificialVariables  numDecisionVariables  numSlackVariables  row  slackVar  width  zIndex  long  serialVersionUID  	projects/Math33/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java	0.2886751345948129	215	216	1	replace	matrix.setEntry(row,  getSlackVariableOffset()  -  1,  getInvertedCoefficientSum(constraint.getValue()));  getNegativeCoefficientSum(constraint.getValue()));	      matrix.setEntry(row,    getSlackVariableOffset()    -    1,    getNegativeCoefficientSum(constraint.getValue()));    getNegativeCoefficientSum(constraint.getValue()));    	non-compiled	[CE]  illegal  start  of  expression	12	None	replace
3	[BUG]  [BUGGY]  matrix.setEntry(row,  width  -  1,  constraint.getValue());  getNegativeCoefficientSum(constraint.getValue()));  [CE]  illegal  start  of  expression  [FE]              AssertionError    [CONTEXT]    int  artificialVar  =  0;  for  (int  i  =  0;  i  <  constraints.size();  i++)  {  LinearConstraint  constraint  =  constraints.get(i);  int  row  =  getNumObjectiveFunctions()  +  i;  copyArray(constraint.getCoefficients().toArray(),  matrix.getDataRef()[row]);  if  (!restrictToNonNegative)  {    [BUGGY]  matrix.setEntry(row,  width  -  1,  constraint.getValue());  getNegativeCoefficientSum(constraint.getValue()));  [BUGGY]    matrix.setEntry(row,  getSlackVariableOffset()  -  1,      getInvertedCoefficientSum(constraint.getCoefficients()));  getInvertedCoefficientSum(constraint.getCoefficients()));  }  matrix.setEntry(row,  width  -  1,  constraint.getValue());  if  (constraint.getRelationship()  ==  Relationship.LEQ)  {  matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar++,  1);//  slack  }  else  if  (constraint.getRelationship()  ==  Relationship.GEQ)  {  [CLASS]  SimplexTableau  [METHOD]  createTableau  [RETURN_TYPE]  RealMatrix  final  boolean  maximize  [VARIABLES]  boolean  maximize  restrictToNonNegative  RealMatrix  tableau  Array2DRowRealMatrix  matrix  double  epsilon  RealVector  objectiveCoefficients  LinearObjectiveFunction  f  LinearConstraint  constraint  List  columnLabels  constraints  String  NEGATIVE_VAR_COLUMN_LABEL  int  DEFAULT_ULPS  artificialVar  height  i  maxUlps  numArtificialVariables  numDecisionVariables  numSlackVariables  row  slackVar  width  zIndex  long  serialVersionUID  	projects/Math33/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java	0.2886751345948129	215	216	1	replace	matrix.setEntry(row,  width  -  1,  constraint.getValue());  getNegativeCoefficientSum(constraint.getValue()));	      matrix.setEntry(row,    getSlackVariableOffset()    -    1,    getNegativeCoefficientSum(constraint.getValue()));    getNegativeCoefficientSum(constraint.getValue()));    	non-compiled	[CE]  illegal  start  of  expression	12	None	replace
4	[BUG]  [BUGGY]  matrix.setEntry(row,  getSlackVariableOffset()  -  1,  constraint.getValue());  getNegativeCoefficientSum(constraint.getValue()));  [CE]  illegal  start  of  expression  [FE]                AssertionError    [CONTEXT]    int  artificialVar  =  0;  for  (int  i  =  0;  i  <  constraints.size();  i++)  {  LinearConstraint  constraint  =  constraints.get(i);  int  row  =  getNumObjectiveFunctions()  +  i;  copyArray(constraint.getCoefficients().toArray(),  matrix.getDataRef()[row]);  if  (!restrictToNonNegative)  {    [BUGGY]  matrix.setEntry(row,  getSlackVariableOffset()  -  1,  constraint.getValue());  getNegativeCoefficientSum(constraint.getValue()));  [BUGGY]    matrix.setEntry(row,  getSlackVariableOffset()  -  1,      getInvertedCoefficientSum(constraint.getCoefficients()));  getInvertedCoefficientSum(constraint.getCoefficients()));  }  matrix.setEntry(row,  width  -  1,  constraint.getValue());  if  (constraint.getRelationship()  ==  Relationship.LEQ)  {  matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar++,  1);//  slack  }  else  if  (constraint.getRelationship()  ==  Relationship.GEQ)  {  [CLASS]  SimplexTableau  [METHOD]  createTableau  [RETURN_TYPE]  RealMatrix  final  boolean  maximize  [VARIABLES]  boolean  maximize  restrictToNonNegative  RealMatrix  tableau  Array2DRowRealMatrix  matrix  double  epsilon  RealVector  objectiveCoefficients  LinearObjectiveFunction  f  LinearConstraint  constraint  List  columnLabels  constraints  String  NEGATIVE_VAR_COLUMN_LABEL  int  DEFAULT_ULPS  artificialVar  height  i  maxUlps  numArtificialVariables  numDecisionVariables  numSlackVariables  row  slackVar  width  zIndex  long  serialVersionUID  	projects/Math33/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java	0.2886751345948129	215	216	1	replace	matrix.setEntry(row,  getSlackVariableOffset()  -  1,  constraint.getValue());  getNegativeCoefficientSum(constraint.getValue()));	      matrix.setEntry(row,    getSlackVariableOffset()    -    1,    getNegativeCoefficientSum(constraint.getValue()));    getNegativeCoefficientSum(constraint.getValue()));    	non-compiled	[CE]  illegal  start  of  expression	12	None	replace
5	[BUG]  [BUGGY]  matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar,  1);  [CE]  illegal  start  of  expression  [FE]        AssertionError    [CONTEXT]    int  artificialVar  =  0;  for  (int  i  =  0;  i  <  constraints.size();  i++)  {  LinearConstraint  constraint  =  constraints.get(i);  int  row  =  getNumObjectiveFunctions()  +  i;  copyArray(constraint.getCoefficients().toArray(),  matrix.getDataRef()[row]);  if  (!restrictToNonNegative)  {    [BUGGY]  matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar,  1);  [BUGGY]    getInvertedCoefficientSum(constraint.getCoefficients()));  }  matrix.setEntry(row,  width  -  1,  constraint.getValue());  if  (constraint.getRelationship()  ==  Relationship.LEQ)  {  matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar++,  1);//  slack  }  else  if  (constraint.getRelationship()  ==  Relationship.GEQ)  {  [CLASS]  SimplexTableau  [METHOD]  createTableau  [RETURN_TYPE]  RealMatrix  final  boolean  maximize  [VARIABLES]  boolean  maximize  restrictToNonNegative  RealMatrix  tableau  Array2DRowRealMatrix  matrix  double  epsilon  RealVector  objectiveCoefficients  LinearObjectiveFunction  f  LinearConstraint  constraint  List  columnLabels  constraints  String  NEGATIVE_VAR_COLUMN_LABEL  int  DEFAULT_ULPS  artificialVar  height  i  maxUlps  numArtificialVariables  numDecisionVariables  numSlackVariables  row  slackVar  width  zIndex  long  serialVersionUID  	projects/Math33/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java	0.2886751345948129	215	216	1	replace	matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar,  1);	  matrix.setEntry(row,    getSlackVariableOffset()    +    slackVar,    getInvertedCoefficientSum(constraint.getCoefficients()));    	non-compiled	[CE]  illegal  start  of  expression	9	None	replace
6	[BUG]  [BUGGY]  matrix.setEntry(row,  getSlackVariableOffset()  +  artificialVar,  getInvertedCoefficientSum(constraint.getCoefficients()));  [CE]  illegal  start  of  expression  [FE]          AssertionError    [CONTEXT]    int  artificialVar  =  0;  for  (int  i  =  0;  i  <  constraints.size();  i++)  {  LinearConstraint  constraint  =  constraints.get(i);  int  row  =  getNumObjectiveFunctions()  +  i;  copyArray(constraint.getCoefficients().toArray(),  matrix.getDataRef()[row]);  if  (!restrictToNonNegative)  {    [BUGGY]  matrix.setEntry(row,  getSlackVariableOffset()  +  artificialVar,  getInvertedCoefficientSum(constraint.getCoefficients()));  [BUGGY]    getInvertedCoefficientSum(constraint.getCoefficients()));  }  matrix.setEntry(row,  width  -  1,  constraint.getValue());  if  (constraint.getRelationship()  ==  Relationship.LEQ)  {  matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar++,  1);//  slack  }  else  if  (constraint.getRelationship()  ==  Relationship.GEQ)  {  [CLASS]  SimplexTableau  [METHOD]  createTableau  [RETURN_TYPE]  RealMatrix  final  boolean  maximize  [VARIABLES]  boolean  maximize  restrictToNonNegative  RealMatrix  tableau  Array2DRowRealMatrix  matrix  double  epsilon  RealVector  objectiveCoefficients  LinearObjectiveFunction  f  LinearConstraint  constraint  List  columnLabels  constraints  String  NEGATIVE_VAR_COLUMN_LABEL  int  DEFAULT_ULPS  artificialVar  height  i  maxUlps  numArtificialVariables  numDecisionVariables  numSlackVariables  row  slackVar  width  zIndex  long  serialVersionUID  	projects/Math33/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java	0.2886751345948129	215	216	1	replace	matrix.setEntry(row,  getSlackVariableOffset()  +  artificialVar,  getInvertedCoefficientSum(constraint.getCoefficients()));	  matrix.setEntry(row,    getSlackVariableOffset()    +    slackVar,    getInvertedCoefficientSum(constraint.getCoefficients()));    	non-compiled	[CE]  illegal  start  of  expression	9	None	replace
7	[BUG]  [BUGGY]  matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar,  1,  constraint.getCoefficients());  [CE]  illegal  start  of  expression  [FE]            AssertionError    [CONTEXT]    int  artificialVar  =  0;  for  (int  i  =  0;  i  <  constraints.size();  i++)  {  LinearConstraint  constraint  =  constraints.get(i);  int  row  =  getNumObjectiveFunctions()  +  i;  copyArray(constraint.getCoefficients().toArray(),  matrix.getDataRef()[row]);  if  (!restrictToNonNegative)  {    [BUGGY]  matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar,  1,  constraint.getCoefficients());  [BUGGY]    getInvertedCoefficientSum(constraint.getCoefficients()));  }  matrix.setEntry(row,  width  -  1,  constraint.getValue());  if  (constraint.getRelationship()  ==  Relationship.LEQ)  {  matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar++,  1);//  slack  }  else  if  (constraint.getRelationship()  ==  Relationship.GEQ)  {  [CLASS]  SimplexTableau  [METHOD]  createTableau  [RETURN_TYPE]  RealMatrix  final  boolean  maximize  [VARIABLES]  boolean  maximize  restrictToNonNegative  RealMatrix  tableau  Array2DRowRealMatrix  matrix  double  epsilon  RealVector  objectiveCoefficients  LinearObjectiveFunction  f  LinearConstraint  constraint  List  columnLabels  constraints  String  NEGATIVE_VAR_COLUMN_LABEL  int  DEFAULT_ULPS  artificialVar  height  i  maxUlps  numArtificialVariables  numDecisionVariables  numSlackVariables  row  slackVar  width  zIndex  long  serialVersionUID  	projects/Math33/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java	0.2886751345948129	215	216	1	replace	matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar,  1,  constraint.getCoefficients());	  matrix.setEntry(row,    getSlackVariableOffset()    +    slackVar,    getInvertedCoefficientSum(constraint.getCoefficients()));    	non-compiled	[CE]  illegal  start  of  expression	9	None	replace
8	[BUG]  [BUGGY]  matrix.setEntry(row,  getSlackVariableOffset()  +  1,  getInvertedCoefficientSum(constraint.getValue()));  [CE]  illegal  start  of  expression  [FE]              AssertionError    [CONTEXT]    int  artificialVar  =  0;  for  (int  i  =  0;  i  <  constraints.size();  i++)  {  LinearConstraint  constraint  =  constraints.get(i);  int  row  =  getNumObjectiveFunctions()  +  i;  copyArray(constraint.getCoefficients().toArray(),  matrix.getDataRef()[row]);  if  (!restrictToNonNegative)  {    [BUGGY]  matrix.setEntry(row,  getSlackVariableOffset()  +  1,  getInvertedCoefficientSum(constraint.getValue()));  [BUGGY]    getInvertedCoefficientSum(constraint.getCoefficients()));  }  matrix.setEntry(row,  width  -  1,  constraint.getValue());  if  (constraint.getRelationship()  ==  Relationship.LEQ)  {  matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar++,  1);//  slack  }  else  if  (constraint.getRelationship()  ==  Relationship.GEQ)  {  [CLASS]  SimplexTableau  [METHOD]  createTableau  [RETURN_TYPE]  RealMatrix  final  boolean  maximize  [VARIABLES]  boolean  maximize  restrictToNonNegative  RealMatrix  tableau  Array2DRowRealMatrix  matrix  double  epsilon  RealVector  objectiveCoefficients  LinearObjectiveFunction  f  LinearConstraint  constraint  List  columnLabels  constraints  String  NEGATIVE_VAR_COLUMN_LABEL  int  DEFAULT_ULPS  artificialVar  height  i  maxUlps  numArtificialVariables  numDecisionVariables  numSlackVariables  row  slackVar  width  zIndex  long  serialVersionUID  	projects/Math33/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java	0.2886751345948129	215	216	1	replace	matrix.setEntry(row,  getSlackVariableOffset()  +  1,  getInvertedCoefficientSum(constraint.getValue()));	  matrix.setEntry(row,    getSlackVariableOffset()    -    1,    getInvertedCoefficientSum(constraint.getValue()));    	non-compiled	[CE]  illegal  start  of  expression	4	None	replace
9	[BUG]  [BUGGY]  matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar,  getInvertedCoefficientSum(constraint.getValue()));  [CE]  illegal  start  of  expression  [FE]                AssertionError    [CONTEXT]    int  artificialVar  =  0;  for  (int  i  =  0;  i  <  constraints.size();  i++)  {  LinearConstraint  constraint  =  constraints.get(i);  int  row  =  getNumObjectiveFunctions()  +  i;  copyArray(constraint.getCoefficients().toArray(),  matrix.getDataRef()[row]);  if  (!restrictToNonNegative)  {    [BUGGY]  matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar,  getInvertedCoefficientSum(constraint.getValue()));  [BUGGY]    getInvertedCoefficientSum(constraint.getCoefficients()));  }  matrix.setEntry(row,  width  -  1,  constraint.getValue());  if  (constraint.getRelationship()  ==  Relationship.LEQ)  {  matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar++,  1);//  slack  }  else  if  (constraint.getRelationship()  ==  Relationship.GEQ)  {  [CLASS]  SimplexTableau  [METHOD]  createTableau  [RETURN_TYPE]  RealMatrix  final  boolean  maximize  [VARIABLES]  boolean  maximize  restrictToNonNegative  RealMatrix  tableau  Array2DRowRealMatrix  matrix  double  epsilon  RealVector  objectiveCoefficients  LinearObjectiveFunction  f  LinearConstraint  constraint  List  columnLabels  constraints  String  NEGATIVE_VAR_COLUMN_LABEL  int  DEFAULT_ULPS  artificialVar  height  i  maxUlps  numArtificialVariables  numDecisionVariables  numSlackVariables  row  slackVar  width  zIndex  long  serialVersionUID  	projects/Math33/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java	0.2886751345948129	215	216	1	replace	matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar,  getInvertedCoefficientSum(constraint.getValue()));	  matrix.setEntry(row,    getSlackVariableOffset()    -    1,    getInvertedCoefficientSum(constraint.getValue()));    	non-compiled	[CE]  illegal  start  of  expression	4	None	replace
10	[BUG]  [BUGGY]  matrix.setEntry(row,  getSlackVariableOffset()  -  1,  constraint.getCoefficients());  [CE]  illegal  start  of  expression  [FE]                  AssertionError    [CONTEXT]    int  artificialVar  =  0;  for  (int  i  =  0;  i  <  constraints.size();  i++)  {  LinearConstraint  constraint  =  constraints.get(i);  int  row  =  getNumObjectiveFunctions()  +  i;  copyArray(constraint.getCoefficients().toArray(),  matrix.getDataRef()[row]);  if  (!restrictToNonNegative)  {    [BUGGY]  matrix.setEntry(row,  getSlackVariableOffset()  -  1,  constraint.getCoefficients());  [BUGGY]    getInvertedCoefficientSum(constraint.getCoefficients()));  }  matrix.setEntry(row,  width  -  1,  constraint.getValue());  if  (constraint.getRelationship()  ==  Relationship.LEQ)  {  matrix.setEntry(row,  getSlackVariableOffset()  +  slackVar++,  1);//  slack  }  else  if  (constraint.getRelationship()  ==  Relationship.GEQ)  {  [CLASS]  SimplexTableau  [METHOD]  createTableau  [RETURN_TYPE]  RealMatrix  final  boolean  maximize  [VARIABLES]  boolean  maximize  restrictToNonNegative  RealMatrix  tableau  Array2DRowRealMatrix  matrix  double  epsilon  RealVector  objectiveCoefficients  LinearObjectiveFunction  f  LinearConstraint  constraint  List  columnLabels  constraints  String  NEGATIVE_VAR_COLUMN_LABEL  int  DEFAULT_ULPS  artificialVar  height  i  maxUlps  numArtificialVariables  numDecisionVariables  numSlackVariables  row  slackVar  width  zIndex  long  serialVersionUID  	projects/Math33/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java	0.2886751345948129	215	216	1	replace	matrix.setEntry(row,  getSlackVariableOffset()  -  1,  constraint.getCoefficients());	  matrix.setEntry(row,    getSlackVariableOffset()    -    1,    getInvertedCoefficientSum(constraint.getValue()));    	non-compiled	[CE]  illegal  start  of  expression	4	None	replace
