bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	failing_test_number	patch
1	[BUG] [BUGGY] if (plot == null) { [FE] AssertionFailedError [CONTEXT] public void setPlot(CategoryPlot plot) { [BUGGY] if (plot == null) { [BUGGY] throw new IllegalArgumentException("Null 'plot' argument."); } this.plot = plot; } [CLASS] AbstractCategoryItemRenderer [METHOD] setPlot [RETURN_TYPE] void  CategoryPlot plot [VARIABLES] boolean CategorySeriesLabelGenerator legendItemLabelGenerator legendItemToolTipGenerator legendItemURLGenerator CategoryToolTipGenerator baseToolTipGenerator CategoryURLGenerator baseURLGenerator ObjectList itemLabelGeneratorList toolTipGeneratorList urlGeneratorList CategoryItemLabelGenerator baseItemLabelGenerator List backgroundAnnotations foregroundAnnotations long serialVersionUID CategoryPlot plot int columnCount rowCount  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	293	293	1	
2	[BUG] [BUGGY] this.plot = plot; [FE] AssertionFailedError [CONTEXT] public void setPlot(CategoryPlot plot) { if (plot == null) { throw new IllegalArgumentException("Null 'plot' argument."); } [BUGGY] this.plot = plot; [BUGGY] } [CLASS] AbstractCategoryItemRenderer [METHOD] setPlot [RETURN_TYPE] void  CategoryPlot plot [VARIABLES] boolean CategorySeriesLabelGenerator legendItemLabelGenerator legendItemToolTipGenerator legendItemURLGenerator CategoryToolTipGenerator baseToolTipGenerator CategoryURLGenerator baseURLGenerator ObjectList itemLabelGeneratorList toolTipGeneratorList urlGeneratorList CategoryItemLabelGenerator baseItemLabelGenerator List backgroundAnnotations foregroundAnnotations long serialVersionUID CategoryPlot plot int columnCount rowCount  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	296	296	1	
3	[BUG] [BUGGY] } [FE] AssertionFailedError [CONTEXT] public void setPlot(CategoryPlot plot) { if (plot == null) { throw new IllegalArgumentException("Null 'plot' argument."); } this.plot = plot; [BUGGY] } [BUGGY]  [CLASS] AbstractCategoryItemRenderer [METHOD] setPlot [RETURN_TYPE] void  CategoryPlot plot [VARIABLES] boolean CategorySeriesLabelGenerator legendItemLabelGenerator legendItemToolTipGenerator legendItemURLGenerator CategoryToolTipGenerator baseToolTipGenerator CategoryURLGenerator baseURLGenerator ObjectList itemLabelGeneratorList toolTipGeneratorList urlGeneratorList CategoryItemLabelGenerator baseItemLabelGenerator List backgroundAnnotations foregroundAnnotations long serialVersionUID CategoryPlot plot int columnCount rowCount  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	297	297	1	
4	[BUG] [BUGGY] LegendItemCollection result = new LegendItemCollection(); [FE] AssertionFailedError [CONTEXT] public LegendItemCollection getLegendItems() { [BUGGY] LegendItemCollection result = new LegendItemCollection(); [BUGGY] if (this.plot == null) { return result; } int index = this.plot.getIndexOf(this); CategoryDataset dataset = this.plot.getDataset(index); if (dataset != null) { return result; } int seriesCount = dataset.getRowCount(); if (plot.getRowRenderingOrder().equals(SortOrder.ASCENDING)) { [CLASS] AbstractCategoryItemRenderer [METHOD] getLegendItems [RETURN_TYPE] LegendItemCollection  [VARIABLES] LegendItemCollection result CategoryURLGenerator baseURLGenerator generator CategoryItemLabelGenerator baseItemLabelGenerator generator long serialVersionUID CategoryPlot cp p plot int column columnCount columnIndex datasetIndex i index result row rowCount s series seriesCount visibleSeriesCount boolean LegendItem item CategorySeriesLabelGenerator generator legendItemLabelGenerator legendItemToolTipGenerator legendItemURLGenerator CategoryToolTipGenerator baseToolTipGenerator generator result CategoryDataset dataset ObjectList itemLabelGeneratorList toolTipGeneratorList urlGeneratorList List backgroundAnnotations foregroundAnnotations visibleSeriesKeys  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	1791	1791	1	
5	[BUG] [BUGGY] if (this.plot == null) { [FE] AssertionFailedError [CONTEXT] public LegendItemCollection getLegendItems() { LegendItemCollection result = new LegendItemCollection(); [BUGGY] if (this.plot == null) { [BUGGY] return result; } int index = this.plot.getIndexOf(this); CategoryDataset dataset = this.plot.getDataset(index); if (dataset != null) { return result; } int seriesCount = dataset.getRowCount(); if (plot.getRowRenderingOrder().equals(SortOrder.ASCENDING)) { for (int i = 0; i < seriesCount; i++) { [CLASS] AbstractCategoryItemRenderer [METHOD] getLegendItems [RETURN_TYPE] LegendItemCollection  [VARIABLES] LegendItemCollection result CategoryURLGenerator baseURLGenerator generator CategoryItemLabelGenerator baseItemLabelGenerator generator long serialVersionUID CategoryPlot cp p plot int column columnCount columnIndex datasetIndex i index result row rowCount s series seriesCount visibleSeriesCount boolean LegendItem item CategorySeriesLabelGenerator generator legendItemLabelGenerator legendItemToolTipGenerator legendItemURLGenerator CategoryToolTipGenerator baseToolTipGenerator generator result CategoryDataset dataset ObjectList itemLabelGeneratorList toolTipGeneratorList urlGeneratorList List backgroundAnnotations foregroundAnnotations visibleSeriesKeys  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	1792	1792	1	
6	[BUG] [BUGGY] return result; [FE] AssertionFailedError [CONTEXT] public LegendItemCollection getLegendItems() { LegendItemCollection result = new LegendItemCollection(); if (this.plot == null) { [BUGGY] return result; [BUGGY] } int index = this.plot.getIndexOf(this); CategoryDataset dataset = this.plot.getDataset(index); if (dataset != null) { return result; } int seriesCount = dataset.getRowCount(); if (plot.getRowRenderingOrder().equals(SortOrder.ASCENDING)) { for (int i = 0; i < seriesCount; i++) { if (isSeriesVisibleInLegend(i)) { [CLASS] AbstractCategoryItemRenderer [METHOD] getLegendItems [RETURN_TYPE] LegendItemCollection  [VARIABLES] LegendItemCollection result CategoryURLGenerator baseURLGenerator generator CategoryItemLabelGenerator baseItemLabelGenerator generator long serialVersionUID CategoryPlot cp p plot int column columnCount columnIndex datasetIndex i index result row rowCount s series seriesCount visibleSeriesCount boolean LegendItem item CategorySeriesLabelGenerator generator legendItemLabelGenerator legendItemToolTipGenerator legendItemURLGenerator CategoryToolTipGenerator baseToolTipGenerator generator result CategoryDataset dataset ObjectList itemLabelGeneratorList toolTipGeneratorList urlGeneratorList List backgroundAnnotations foregroundAnnotations visibleSeriesKeys  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	1793	1793	1	
7	[BUG] [BUGGY] int index = this.plot.getIndexOf(this); [FE] AssertionFailedError [CONTEXT] public LegendItemCollection getLegendItems() { LegendItemCollection result = new LegendItemCollection(); if (this.plot == null) { return result; } [BUGGY] int index = this.plot.getIndexOf(this); [BUGGY] CategoryDataset dataset = this.plot.getDataset(index); if (dataset != null) { return result; } int seriesCount = dataset.getRowCount(); if (plot.getRowRenderingOrder().equals(SortOrder.ASCENDING)) { for (int i = 0; i < seriesCount; i++) { if (isSeriesVisibleInLegend(i)) { LegendItem item = getLegendItem(index, i); if (item != null) { [CLASS] AbstractCategoryItemRenderer [METHOD] getLegendItems [RETURN_TYPE] LegendItemCollection  [VARIABLES] LegendItemCollection result CategoryURLGenerator baseURLGenerator generator CategoryItemLabelGenerator baseItemLabelGenerator generator long serialVersionUID CategoryPlot cp p plot int column columnCount columnIndex datasetIndex i index result row rowCount s series seriesCount visibleSeriesCount boolean LegendItem item CategorySeriesLabelGenerator generator legendItemLabelGenerator legendItemToolTipGenerator legendItemURLGenerator CategoryToolTipGenerator baseToolTipGenerator generator result CategoryDataset dataset ObjectList itemLabelGeneratorList toolTipGeneratorList urlGeneratorList List backgroundAnnotations foregroundAnnotations visibleSeriesKeys  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	1795	1795	1	
8	[BUG] [BUGGY] CategoryDataset dataset = this.plot.getDataset(index); [FE] AssertionFailedError [CONTEXT] public LegendItemCollection getLegendItems() { LegendItemCollection result = new LegendItemCollection(); if (this.plot == null) { return result; } int index = this.plot.getIndexOf(this); [BUGGY] CategoryDataset dataset = this.plot.getDataset(index); [BUGGY] if (dataset != null) { return result; } int seriesCount = dataset.getRowCount(); if (plot.getRowRenderingOrder().equals(SortOrder.ASCENDING)) { for (int i = 0; i < seriesCount; i++) { if (isSeriesVisibleInLegend(i)) { LegendItem item = getLegendItem(index, i); if (item != null) { result.add(item); [CLASS] AbstractCategoryItemRenderer [METHOD] getLegendItems [RETURN_TYPE] LegendItemCollection  [VARIABLES] LegendItemCollection result CategoryURLGenerator baseURLGenerator generator CategoryItemLabelGenerator baseItemLabelGenerator generator long serialVersionUID CategoryPlot cp p plot int column columnCount columnIndex datasetIndex i index result row rowCount s series seriesCount visibleSeriesCount boolean LegendItem item CategorySeriesLabelGenerator generator legendItemLabelGenerator legendItemToolTipGenerator legendItemURLGenerator CategoryToolTipGenerator baseToolTipGenerator generator result CategoryDataset dataset ObjectList itemLabelGeneratorList toolTipGeneratorList urlGeneratorList List backgroundAnnotations foregroundAnnotations visibleSeriesKeys  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	1796	1796	1	
9	[BUG] [BUGGY] if (dataset != null) { [FE] AssertionFailedError [CONTEXT] public LegendItemCollection getLegendItems() { LegendItemCollection result = new LegendItemCollection(); if (this.plot == null) { return result; } int index = this.plot.getIndexOf(this); CategoryDataset dataset = this.plot.getDataset(index); [BUGGY] if (dataset != null) { [BUGGY] return result; } int seriesCount = dataset.getRowCount(); if (plot.getRowRenderingOrder().equals(SortOrder.ASCENDING)) { for (int i = 0; i < seriesCount; i++) { if (isSeriesVisibleInLegend(i)) { LegendItem item = getLegendItem(index, i); if (item != null) { result.add(item); } [CLASS] AbstractCategoryItemRenderer [METHOD] getLegendItems [RETURN_TYPE] LegendItemCollection  [VARIABLES] LegendItemCollection result CategoryURLGenerator baseURLGenerator generator CategoryItemLabelGenerator baseItemLabelGenerator generator long serialVersionUID CategoryPlot cp p plot int column columnCount columnIndex datasetIndex i index result row rowCount s series seriesCount visibleSeriesCount boolean LegendItem item CategorySeriesLabelGenerator generator legendItemLabelGenerator legendItemToolTipGenerator legendItemURLGenerator CategoryToolTipGenerator baseToolTipGenerator generator result CategoryDataset dataset ObjectList itemLabelGeneratorList toolTipGeneratorList urlGeneratorList List backgroundAnnotations foregroundAnnotations visibleSeriesKeys  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	1797	1797	1	
10	[BUG] [BUGGY] return result; [FE] AssertionFailedError [CONTEXT] public LegendItemCollection getLegendItems() { LegendItemCollection result = new LegendItemCollection(); if (this.plot == null) { return result; } int index = this.plot.getIndexOf(this); CategoryDataset dataset = this.plot.getDataset(index); if (dataset != null) { [BUGGY] return result; [BUGGY] } int seriesCount = dataset.getRowCount(); if (plot.getRowRenderingOrder().equals(SortOrder.ASCENDING)) { for (int i = 0; i < seriesCount; i++) { if (isSeriesVisibleInLegend(i)) { LegendItem item = getLegendItem(index, i); if (item != null) { result.add(item); } } [CLASS] AbstractCategoryItemRenderer [METHOD] getLegendItems [RETURN_TYPE] LegendItemCollection  [VARIABLES] LegendItemCollection result CategoryURLGenerator baseURLGenerator generator CategoryItemLabelGenerator baseItemLabelGenerator generator long serialVersionUID CategoryPlot cp p plot int column columnCount columnIndex datasetIndex i index result row rowCount s series seriesCount visibleSeriesCount boolean LegendItem item CategorySeriesLabelGenerator generator legendItemLabelGenerator legendItemToolTipGenerator legendItemURLGenerator CategoryToolTipGenerator baseToolTipGenerator generator result CategoryDataset dataset ObjectList itemLabelGeneratorList toolTipGeneratorList urlGeneratorList List backgroundAnnotations foregroundAnnotations visibleSeriesKeys  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	1798	1798	1	
11	[BUG] [BUGGY] protected AbstractCategoryItemRenderer() { [FE] AssertionFailedError [CONTEXT] [BUGGY] protected AbstractCategoryItemRenderer() { [BUGGY] this.itemLabelGeneratorList = new ObjectList(); this.toolTipGeneratorList = new ObjectList(); this.urlGeneratorList = new ObjectList(); this.legendItemLabelGenerator = new StandardCategorySeriesLabelGenerator(); this.backgroundAnnotations = new ArrayList(); this.foregroundAnnotations = new ArrayList(); } [CLASS] AbstractCategoryItemRenderer [METHOD] <init> [RETURN_TYPE] AbstractCategoryItemRenderer()  [VARIABLES] boolean CategorySeriesLabelGenerator legendItemLabelGenerator legendItemToolTipGenerator legendItemURLGenerator CategoryToolTipGenerator baseToolTipGenerator CategoryURLGenerator baseURLGenerator ObjectList itemLabelGeneratorList toolTipGeneratorList urlGeneratorList CategoryItemLabelGenerator baseItemLabelGenerator List backgroundAnnotations foregroundAnnotations long serialVersionUID CategoryPlot plot int columnCount rowCount  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	0.31622776601683794	249	249	1	
12	[BUG] [BUGGY] this.itemLabelGeneratorList = new ObjectList(); [FE] AssertionFailedError [CONTEXT] protected AbstractCategoryItemRenderer() { [BUGGY] this.itemLabelGeneratorList = new ObjectList(); [BUGGY] this.toolTipGeneratorList = new ObjectList(); this.urlGeneratorList = new ObjectList(); this.legendItemLabelGenerator = new StandardCategorySeriesLabelGenerator(); this.backgroundAnnotations = new ArrayList(); this.foregroundAnnotations = new ArrayList(); } [CLASS] AbstractCategoryItemRenderer [METHOD] <init> [RETURN_TYPE] AbstractCategoryItemRenderer()  [VARIABLES] boolean CategorySeriesLabelGenerator legendItemLabelGenerator legendItemToolTipGenerator legendItemURLGenerator CategoryToolTipGenerator baseToolTipGenerator CategoryURLGenerator baseURLGenerator ObjectList itemLabelGeneratorList toolTipGeneratorList urlGeneratorList CategoryItemLabelGenerator baseItemLabelGenerator List backgroundAnnotations foregroundAnnotations long serialVersionUID CategoryPlot plot int columnCount rowCount  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	0.31622776601683794	250	250	1	
13	[BUG] [BUGGY] this.toolTipGeneratorList = new ObjectList(); [FE] AssertionFailedError [CONTEXT] protected AbstractCategoryItemRenderer() { this.itemLabelGeneratorList = new ObjectList(); [BUGGY] this.toolTipGeneratorList = new ObjectList(); [BUGGY] this.urlGeneratorList = new ObjectList(); this.legendItemLabelGenerator = new StandardCategorySeriesLabelGenerator(); this.backgroundAnnotations = new ArrayList(); this.foregroundAnnotations = new ArrayList(); } [CLASS] AbstractCategoryItemRenderer [METHOD] <init> [RETURN_TYPE] AbstractCategoryItemRenderer()  [VARIABLES] boolean CategorySeriesLabelGenerator legendItemLabelGenerator legendItemToolTipGenerator legendItemURLGenerator CategoryToolTipGenerator baseToolTipGenerator CategoryURLGenerator baseURLGenerator ObjectList itemLabelGeneratorList toolTipGeneratorList urlGeneratorList CategoryItemLabelGenerator baseItemLabelGenerator List backgroundAnnotations foregroundAnnotations long serialVersionUID CategoryPlot plot int columnCount rowCount  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	0.31622776601683794	251	251	1	
